japName,total,success,unsuccess
image_0002.jpg,590,33,557
image_0005.jpg,571,35,536
image_0004.jpg,581,30,551
image_0008.jpg,563,29,534
image_0007.jpg,605,36,569
image_0009.jpg,583,30,553
image_0003.jpg,574,29,545
image_0001.jpg,622,38,584
image_0011.jpg,576,27,549
image_0010.jpg,603,34,569
image_0017.jpg,609,29,580
image_0016.jpg,605,34,571
image_0014.jpg,600,38,562
image_0013.jpg,613,31,582
image_0021.jpg,599,33,566
image_0019.jpg,576,33,543
image_0024.jpg,608,33,575
image_0023.jpg,547,25,522
image_0025.jpg,574,31,543
image_0018.jpg,603,28,575
image_0012.jpg,597,31,566
image_0028.jpg,613,28,585
image_0027.jpg,590,30,560
image_0030.jpg,597,31,566
image_0032.jpg,585,29,556
image_0031.jpg,561,34,527
image_0029.jpg,593,35,558
image_0026.jpg,623,26,597
image_0034.jpg,581,29,552
image_0033.jpg,556,30,526
image_0040.jpg,524,26,498
image_0039.jpg,535,29,506
image_0038.jpg,534,27,507
image_0037.jpg,541,33,508
image_0036.jpg,538,30,508
image_0045.jpg,475,22,453
image_0043.jpg,484,26,458
image_0042.jpg,458,27,431
image_0048.jpg,427,29,398
image_0047.jpg,422,25,397
image_0050.jpg,369,21,348
image_0049.jpg,436,27,409
image_0041.jpg,519,30,489
image_0035.jpg,544,30,514
image_0055.jpg,387,23,364
image_0054.jpg,368,22,346
image_0053.jpg,402,25,377
image_0006.jpg,597,34,563
image_0015.jpg,561,34,527
image_0020.jpg,596,30,566
image_0022.jpg,571,31,540
image_0044.jpg,474,26,448
image_0046.jpg,445,25,420
image_0052.jpg,413,24,389
image_0051.jpg,409,22,387
image_0061.jpg,321,19,302
image_0060.jpg,341,20,321
image_0059.jpg,358,22,336
image_0058.jpg,354,21,333
image_0057.jpg,372,26,346
image_0065.jpg,248,14,234
image_0064.jpg,299,20,279
image_0063.jpg,315,19,296
image_0069.jpg,208,12,196
image_0068.jpg,223,12,211
image_0067.jpg,246,14,232
image_0072.jpg,206,13,193
image_0071.jpg,173,10,163
image_0070.jpg,198,12,186
image_0066.jpg,240,13,227
image_0062.jpg,323,22,301
image_0056.jpg,366,21,345
image_0075.jpg,178,9,169
image_0074.jpg,185,11,174
image_0078.jpg,173,12,161
image_0077.jpg,179,11,168
image_0076.jpg,182,11,171
image_0073.jpg,196,11,185
image_0081.jpg,171,10,161
image_0080.jpg,161,10,151
image_0083.jpg,146,8,138
image_0082.jpg,138,8,130
image_0079.jpg,152,11,141
image_0084.jpg,161,9,152
image_0091.jpg,90,3,87
image_0090.jpg,71,3,68
image_0089.jpg,91,3,88
image_0088.jpg,95,4,91
image_0087.jpg,107,5,102
image_0086.jpg,112,5,107
image_0097.jpg,85,3,82
image_0096.jpg,85,3,82
image_0095.jpg,91,3,88
image_0094.jpg,82,3,79
image_0093.jpg,82,3,79
image_0101.jpg,65,3,62
image_0100.jpg,72,2,70
image_0099.jpg,82,3,79
image_0104.jpg,71,3,68
image_0103.jpg,65,3,62
image_0106.jpg,71,3,68
image_0105.jpg,69,3,66
image_0102.jpg,69,3,66
image_0098.jpg,80,3,77
image_0092.jpg,91,3,88
image_0085.jpg,149,6,143
image_0112.jpg,64,1,63
image_0111.jpg,56,1,55
image_0110.jpg,69,2,67
image_0109.jpg,56,1,55
image_0108.jpg,56,2,54
image_0117.jpg,57,2,55
image_0116.jpg,63,2,61
image_0115.jpg,62,2,60
image_0114.jpg,70,1,69
image_0122.jpg,49,2,47
image_0121.jpg,64,2,62
image_0120.jpg,63,2,61
image_0119.jpg,48,2,46
image_0125.jpg,64,2,62
image_0124.jpg,57,2,55
image_0128.jpg,71,2,69
image_0127.jpg,58,2,56
image_0126.jpg,63,2,61
image_0123.jpg,64,2,62
image_0118.jpg,60,2,58
image_0113.jpg,83,2,81
image_0107.jpg,67,3,64
image_0131.jpg,53,1,52
image_0130.jpg,50,1,49
image_0134.jpg,57,1,56
image_0133.jpg,53,1,52
image_0132.jpg,52,1,51
image_0129.jpg,60,1,59
image_0136.jpg,48,1,47
image_0135.jpg,49,1,48
image_0142.jpg,54,1,53
image_0141.jpg,51,1,50
image_0140.jpg,57,1,56
image_0139.jpg,48,1,47
image_0138.jpg,49,1,48
image_0148.jpg,50,1,49
image_0147.jpg,44,1,43
image_0146.jpg,51,1,50
image_0145.jpg,50,1,49
image_0144.jpg,60,1,59
image_0153.jpg,49,1,48
image_0152.jpg,51,1,50
image_0151.jpg,48,1,47
image_0150.jpg,47,1,46
image_0158.jpg,55,1,54
