    instance #	Best UB TS Solution
10_Tao1 R1			
10_Tao9 R7			
	1	74.00	74.00
	2	69.00	69.00
	3	69.00	69.00
	4	66.00	66.00
	5	75.00	75.00
	6	87.00	87.00
	7	89.38	89.38
	8	107.25	107.25
	9	95.20	95.20
	10	71.50	71.50
10_Tao9 R9			
	1	107.00	107.00
	2	79.00	79.00
	3	94.00	94.00
	4	73.85	73.85
	5	105.00	105.00
	6	98.67	98.67
	7	100.67	100.67
	8	70.75	70.75
	9	96.25	96.25
	10	95.40	95.40
15_Tao1 R1			
	1	140.00	135.00
	2	165.00	162.00
	3	171.00	166.00
	4	171.00	165.00
	5	168.00	166.00
	6	174.00	171.00
	7	120.00	117.00
	8	182.00	176.00
	9	139.00	135.00
	10	169.00	163.00
15_Tao1 R3			
	1	153.00	140.00
	2	165.00	162.00
	3	167.00	165.00
	4	171.00	168.00
	5	122.00	116.16
	6	127.00	127.00
	7	157.00	151.00
	8	191.00	182.00
	9	159.00	157.00
	10	149.00	143.00
15_Tao1 R5			
	1	219.00	211.00
	2	167.00	165.00
	3	123.00	123.00
	4	160.00	155.14
	5	178.00	175.00
	6	211.00	208.00
	7	163.00	161.00
	8	193.00	190.00
	9	174.00	171.00
	10	187.00	184.00
15_Tao1 R7			
	1	174.00	170.00
	2	147.00	145.00
	3	217.00	212.00
	4	185.00	176.76
	5	157.00	157.00
	6	171.00	169.00
	7	201.00	199.00
	8	116.00	113.00
	9	155.00	154.25
	10	146.00	143.00
15_Tao1 R9			
	1	164.00	161.00
	2	155.00	153.00
	3	165.00	165.00
	4	177.00	177.00
	5	162.00	160.00
	6	175.00	175.00
	7	169.00	169.00
	8	169.00	166.44
	9	148.00	139.00
	10	161.00	159.00
15_Tao3 R1			
	1	171.00	164.00
	2	169.00	162.00
	3	170.00	161.00
	4	138.00	133.00
	5	163.00	157.00
	6	168.00	161.00
	7	169.00	163.00
	8	166.00	159.00
	9	174.00	160.00
	10	119.00	115.00
15_Tao3 R3			
	1	182.00	172.00
	2	141.00	135.00
	3	169.00	163.00
	4	150.00	133.00
	5	162.00	157.00
	6	167.00	154.00
	7	168.00	163.00
	8	120.00	116.00
	9	127.00	125.00
	10	156.00	147.00
15_Tao3 R5			
	1	191.00	182.00
	2	159.00	157.00
	3	152.00	142.00
	4	219.00	202.57
	5	167.00	162.00
	6	123.00	119.00
	7	160.00	147.14
	8	178.00	169.00
	9	211.00	202.00
	10	163.00	159.00
15_Tao3 R7			
	1	193.00	190.00
	2	174.00	169.00
	3	187.00	176.00
	4	174.00	166.92
	5	147.00	142.00
	6	217.00	205.00
	7	185.00	171.00
	8	157.00	154.00
	9	171.00	166.00
	10	201.00	193.00
15_Tao3 R9			
	1	116.00	109.00
	2	155.00	153.00
	3	146.00	139.00
	4	164.00	155.00
	5	155.00	144.00
	6	165.00	160.00
	7	177.00	170.00
	8	162.00	152.00
	9	175.00	175.00
	10	169.00	169.00
15_Tao5 R1			
	1	157.00	147.00
	2	133.00	121.00
	3	149.00	141.00
	4	172.00	162.00
	5	142.00	133.00
	6	199.00	174.00
	7	183.00	164.00
	8	159.00	146.00
	9	145.00	133.00
	10	162.00	158.00
15_Tao5 R3			
	1	174.00	159.00
	2	141.00	129.00
	3	176.00	163.00
	4	139.00	130.00
	5	188.00	173.00
	6	130.00	121.83
	7	162.00	147.00
	8	141.00	135.00
	9	153.00	132.00
	10	164.00	157.00
15_Tao5 R5			
	1	170.00	160.00
	2	161.00	140.00
	3	114.00	101.00
	4	172.00	162.00
	5	170.00	144.00
	6	170.00	150.00
	7	166.00	155.00
	8	194.00	178.00
	9	159.00	146.00
	10	166.00	154.00
15_Tao5 R7			
	1	150.67	141.00
	2	162.00	151.00
	3	200.00	192.00
	4	121.00	113.40
	5	193.00	183.00
	6	209.00	186.00
	7	144.68	143.00
	8	169.00	155.00
	9	157.00	148.00
	10	182.00	164.00
15_Tao5 R9			
	1	144.00	136.47
	2	169.00	137.75
	3	113.00	109.00
	4	135.00	131.00
	5	115.94	113.94
	6	214.00	193.07
	7	153.15	153.00
	8	161.00	150.00
	9	171.77	157.77
	10	147.00	137.00
15_Tao7 R1			
	1	153.13	153.00
	2	99.09	99.00
	3	134.12	134.00
	4	136.00	136.00
	5	126.12	121.00
	6	127.10	125.00
	7	133.12	133.00
	8	148.07	148.00
	9	152.15	151.00
	10	163.16	163.00
15_Tao7 R3			
	1	149.14	145.00
	2	121.09	121.00
	3	108.10	107.00
	4	154.26	152.33
	5	155.14	155.00
	6	159.13	159.00
	7	137.12	137.00
	8	150.14	150.00
	9	124.12	124.00
	10	132.13	132.00
15_Tao7 R5			
	1	130.12	130.00
	2	174.15	174.00
	3	142.10	142.00
	4	147.14	147.00
	5	130.12	127.00
	6	159.00	158.00
	7	143.14	143.00
	8	156.34	155.36
	9	89.07	89.00
	10	138.13	138.00
15_Tao7 R7			
	1	100.08	99.00
	2	85.55	83.75
	3	165.16	165.00
	4	153.15	153.00
	5	134.93	133.00
	6	161.16	157.00
	7	143.91	132.00
	8	148.04	141.67
	9	158.65	158.00
	10	100.25	100.17
15_Tao7 R9			
	1	151.14	151.00
	2	174.17	174.00
	3	133.12	133.00
	4	129.21	129.09
	5	161.60	161.44
	6	154.13	154.00
	7	143.13	143.00
	8	82.95	82.73
	9	142.12	142.00
	10	131.12	131.00
15_Tao9 R1			
	1	118.00	118.00
	2	111.00	108.00
	3	102.00	102.00
	4	103.00	103.00
	5	109.00	109.00
	6	125.00	125.00
	7	105.00	105.00
	8	97.00	97.00
	9	107.00	107.00
	10	100.00	100.00
15_Tao9 R3			
	1	131.10	131.00
	2	115.00	115.00
	3	109.00	104.00
	4	111.00	111.00
	5	102.00	102.00
	6	128.00	128.00
	7	118.00	118.00
	8	81.00	81.00
	9	124.00	124.00
	10	72.50	72.50
15_Tao9 R5			
	1	139.14	139.14
	2	111.07	111.00
	3	128.00	128.00
